high,low,radiation
25,16,29
23,15,25.7
25,15,21.5
26,16,15.2
26,17,10.8
26,17,9.1
25,17,9.7
25,17,12.5
23,16,17.5
25,15,22.4
30,16,27.3
26,15,29.1
25,17,
23,16,
25,12,
23,17,
21,17,
23,17,
27,17,
30,16,
26,16,
23,15,
25,15,
25,15,
25,17,
25,17,
21,15,
27,13,
25,16,
25,17,
25,18,
25,18,
25,17,
23,16,
26,16,
32,16,
30,20,
30,20,
26,18,
26,20,
25,17,
30,18,
33,16,
25,17,
22,15,
27,17,
28,16,
32,15,
23,15,
21,16,
25,13,
23,15,
21,15,
27,15,
33,17,
30,18,
25,17,
25,16,
30,17,
33,20,
25,15,
25,13,
30,17,
35,15,
36,21,
25,18,
26,17,
31,20,
35,16,
26,17,
30,17,
23,17,
28,17,
30,15,
22,15,
20,13,
21,12,
22,15,
21,15,
26,15,
23,12,
25,16,
25,15,
22,16,
23,15,
20,13,
22,12,
25,13,
22,12,
25,17,
25,15,
30,17,
35,15,
30,17,
23,15,
21,15,
21,13,
22,10,
21,15,
27,15,
22,12,
25,16,
25,12,
32,8,
21,10,
20,15,
25,13,
20,15,
16,11,
20,11,
23,13,
23,11,
17,12,
20,10,
15,11,
20,15,
23,10,
20,12,
18,15,
18,15,
16,11,
18,11,
21,8,
21,6,
18,10,
15,10,
17,11,
21,12,
23,8,
25,8,
21,10,
20,10,
20,10,
20,15,
18,15,
15,11,
16,10,
16,12,
20,13,
23,5,
25,12,
18,11,
20,10,
18,12,
20,15,
20,10,
27,8,
15,11,
15,7,
15,7,
15,11,
18,11,
15,10,
15,13,
16,15,
15,15,
17,12,
17,10,
20,10,
22,5,
25,10,
20,15,
21,11,
15,12,
16,12,
18,8,
16,10,
15,7,
20,5,
23,5,
17,7,
15,11,
15,12,
15,10,
13,10,
15,7,
15,5,
16,6,
18,10,
22,3,
25,6,
25,10,
21,13,
16,8,
22,7,
18,8,
16,8,
20,5,
25,7,
22,10,
17,8,
16,11,
15,11,
13,6,
12,5,
13,8,
16,5,
20,3,
20,10,
25,6,
25,10,
17,6,
15,10,
13,7,
16,6,
16,3,
20,3,
26,5,
25,8,
17,12,
16,10,
15,11,
15,10,
16,10,
20,8,
15,10,
15,11,
16,10,
20,5,
20,10,
17,6,
17,12,
16,10,
13,8,
15,5,
22,5,
17,12,
22,5,
15,12,
12,10,
15,6,
15,6,
15,10,
15,10,
18,10,
22,5,
18,10,
16,8,
20,6,
25,6,
20,11,
18,12,
23,10,
17,13,
17,12,
17,13,
17,10,
20,12,
18,11,
15,11,
13,8,
15,5,
15,6,
20,6,
18,5,
16,11,
17,11,
16,10,
16,11,
15,10,
15,8,
18,8,
20,7,
20,10,
23,10,
20,8,
17,12,
20,10,
17,11,
16,7,
18,10,
23,5,
25,10,
25,12,
25,12,
30,11,
20,11,
18,15,
20,13,
17,12,
16,8,
17,6,
23,10,
21,15,
17,13,
23,10,
21,13,
18,12,
18,10,
20,10,
21,15,
28,13,
25,15,
27,16,
28,15,
20,12,
23,13,
22,15,
25,15,
20,15,
20,12,
20,10,
23,10,
22,13,
20,15,
28,13,
30,13,
21,15,
18,13,
18,12,
20,13,
15,13,
20,12,
20,11,
20,15,
20,15,
18,13,
20,12,
18,11,
25,12,
27,13,
25,15,
28,16,
31,15,
25,13,
22,15,
30,15,
25,16,
22,17,
20,15,
30,12,
30,12,
21,15,
21,15,
25,10,
22,15,
23,15,
26,15,
28,17,
27,16,
22,17,
23,15,
23,15,
23,13,
25,16,
25,17,
25,16,
30,15,
22,15,
25,15,
20,15,
22,16,
22,15,
25,15,
23,15,
23,15,
21,16,
21,15,
22,12,
21,13,
21,10,
22,15,
22,16,
25,15,
25,18,
